obs,x,y,dia
1,11,34.4,44.1
2,110.1,150.4,23.7
3,136.2,122.1,15
4,144.4,131.8,13.8
5,119.4,170.8,7.5
6,95.3,158.4,8.7
7,135.3,126.6,15
8,114,165.1,14.2
9,196.9,151.4,43.4
10,36.3,67.7,40.9
11,54,137.7,6.6
12,116.1,156.8,42.9
13,113.9,13.1,67.3
14,161,131.9,2
15,101.5,171.8,5.7
16,186.5,88.8,3.9
17,62.9,87.9,32.5
18,140.6,137.7,31.7
19,54.1,115.5,45.5
20,90.9,162.1,3.6
21,166.4,33.6,25.7
22,33.9,21.4,36.9
23,90.2,161.7,4.6
24,143.5,36.9,16.4
25,159,126.1,21.6
26,200,8.8,32.9
27,18.9,11.3,44.1
28,101.5,120.8,59.5
29,156.7,155.3,23.5
30,183,88,5.4
31,163,35.8,25.5
32,6.1,96.2,44.6
33,120.7,115.6,12
34,72.9,36.2,23.3
35,60.1,143.7,14.9
36,56.5,105.5,46.5
37,177.2,174.5,27.8
38,33.7,162.3,40.6
39,62.2,137.7,7.8
40,156.1,116,31.5
41,102.8,169.7,23.1
42,115.3,128.1,14.5
43,114.2,54.6,39.7
44,10.8,0,31.4
45,76.2,171.4,2.1
46,186.1,91,3.2
47,188.2,91.2,3.3
48,56.7,95.3,37.4
49,105.2,142.3,6.3
50,0,177.5,50.8
51,26.9,111.3,44.4
52,182.8,162.9,49.6
53,0.4,175.2,50.9
54,166.2,132,2.5
55,110.6,51.5,14.5
56,184.3,92.1,4.3
57,103.9,139.4,4.3
58,197.6,176.9,7.4
59,116.5,122.6,19
60,65.6,179.3,47.2
61,164.6,120.9,15.1
62,30.9,52.2,43.5
63,66.5,15.9,31.9
64,24.3,145.7,44
65,129.7,119,13.8
66,100.6,53.1,7.4
67,56,137.7,9.5
68,168.7,133.4,2.4
69,43.6,197.3,48.1
70,104,67.1,34.9
71,141,127.8,7.8
72,86.1,186.9,30.5
73,174,125.7,2.2
74,161.3,134.9,3.5
75,101.4,9.3,49.9
76,48.9,67.8,33.7
77,120.4,79.2,46.8
78,44.7,184.6,47.9
79,144.1,199,40.4
80,169.1,160,4.3
81,184.1,88.2,2.8
82,61,69.8,42.2
83,42.2,153.7,44.3
84,103.5,141.3,8.1
85,190.6,92.1,3.2
86,145.5,148.4,8.9
87,5.1,3.9,28.4
88,18.2,80.3,20.8
89,106.7,49.4,25.3
90,144.6,25.4,4.2
91,31.2,127.9,35.5
92,185.2,89.9,3.8
93,32.7,99.1,25.9
94,142.7,25.4,2.5
95,6.4,125.9,37.7
96,93,158,18.7
97,177.3,121,2.2
98,161.3,132.8,2.6
99,156.8,122.3,28.5
100,151,127.3,11.8
101,105.6,160.6,4.3
102,192.7,177.3,7.8
103,100.3,140.8,12.7
104,110,65.9,25
105,80.7,133.2,43.3
106,143.2,125.4,10.1
107,21.5,187.9,40.4
108,3.4,148.8,38.7
109,39,97.3,37.6
110,172.8,124.4,2.9
111,32.6,168.6,40.9
112,31.9,103.2,34.5
113,29.3,118.6,36.5
114,66.5,150,2.3
115,109.4,62.5,18.7
116,1.9,68.5,13.3
117,140.9,121.4,36.4
118,10.1,8.5,24.8
119,110.6,166.4,6.4
120,38,50.7,53.8
121,159.7,129.8,3.6
122,173.8,89.9,3.2
123,54.7,146.8,4
124,157.6,67.2,56.3
125,88.8,35.1,22.3
126,24.5,153.4,51.2
127,87.7,200,11.7
128,90.6,160.8,11
129,33.2,151.2,44.5
130,167.3,54.6,42.4
131,146.2,127.1,30.5
132,23.7,193.9,75.9
133,18.2,168.2,20.6
134,123.4,128.9,26
135,36.6,150.6,29.8
136,107.9,139.5,3.7
137,9.4,67.7,32
138,60.9,71.6,44.1
139,11.1,134.8,27.9
140,194.5,173.8,11.4
141,196.3,192.4,22.1
142,2.4,95.3,45.9
143,138.2,73.4,26.3
144,71,88.8,42.4
145,184,89,4.8
146,22.4,84.1,18.5
147,149.4,64.3,59.5
148,142.3,173.3,54.1
149,59.5,107.4,21.8
150,178.6,91.8,3.5
151,7.9,68.7,4.9
152,123.8,135.1,22.3
153,156.5,118.9,27.8
154,6.7,46.9,39.5
155,100.5,149.7,5.2
156,150.4,123,32.3
157,58.9,180,39.5
158,53.4,139.3,7
159,134.8,120.2,27.5
160,168.2,73,67.7
161,109.7,62.9,23.2
162,196.5,55.2,69.3
163,76.1,52.9,9.5
164,176.7,92.3,7.8
165,23.8,114.5,40.2
166,146.4,148.4,27.6
167,3.9,72.1,9.1
168,149.4,63,39.4
169,75.7,169.7,11.5
170,186.6,92.2,3.6
171,14,174.2,7.4
172,134.1,105.2,2.3
173,42.7,124,43
174,167.7,35.6,17.7
175,34.4,104.2,41.5
176,104.3,104,50
177,119,127.4,34.4
178,161.7,136.1,2.6
179,93.4,71.5,54.4
180,48.5,94.8,48.3
181,115.3,112.6,2.2
182,13.6,127.4,48.4
183,139.3,122.9,15
184,70.7,2.2,23.8
185,37.1,131.9,31.5
186,39.6,47.9,44.2
187,189.1,156.3,50.7
188,6,184.1,43.8
189,166.1,48.8,66.4
190,171.3,185.1,52.2
191,127,29.7,57.7
192,67.2,139.3,16.4
193,151.3,124.7,10.4
194,96.7,149.1,9.2
195,82.5,36.3,18.2
196,61.6,158.2,2.6
197,46.3,80.9,36.6
198,44.1,78,46.3
199,157.8,99,3
200,81.9,58.5,31.9
201,106.9,14.7,40.5
202,164.9,93.7,2.8
203,159,133.6,2.7
204,101.5,148.4,5.4
205,4.1,70.9,5.2
206,145.3,155.6,21.4
207,193.6,22.4,68
208,41.2,12.6,58
209,107,165,22
210,14.9,91.2,47.1
211,95.9,59.7,35.8
212,92,109,50.4
213,174.1,135.6,7.3
214,17.9,111,38.7
215,195.7,144.1,59.4
216,73.9,162.7,4.6
217,95.4,182.9,13.1
218,78.4,172.4,5.6
219,38.1,134.4,37.5
220,102,143.3,10.1
221,161.2,138.1,3.7
222,43.6,98.4,42.7
223,63.9,178.6,48.7
224,127.6,121.7,44.2
225,83.8,123.1,35.5
226,100.9,143.5,14
227,158.4,113.4,14.9
228,134.4,87,30.1
229,37,64.3,44
230,160.6,132.6,2.3
231,188.9,182.1,14.4
232,134.6,104.1,3.2
233,152.7,146.7,19.6
234,39.4,136.8,44.9
235,10.4,61.2,19.2
236,160.7,42.1,17.7
237,47.5,175.9,40.3
238,105.4,115.7,43.5
239,138.3,197.9,43.3
240,177.6,120.3,2.2
241,44.2,129.6,36.2
242,100.8,145,6.7
243,22.2,100,26.1
244,93.5,96.2,59.5
245,135.7,70.7,44.8
246,160.4,176.6,47.5
247,15.9,78.7,32.8
248,61.7,145.3,10.9
249,94.3,196.1,15
250,89.7,10.8,72
251,51.9,94.5,35.6
252,118,69.3,42.3
253,27.9,90.6,21.3
254,114.9,8.1,37.8
255,73,85.6,40.2
256,82.3,16.8,35.6
257,44.2,84,40.5
258,143.8,156,22.3
259,161,138.1,2.7
260,146.1,127.4,10.5
261,57.5,142.3,11.8
262,3.8,44.8,40.6
263,70.4,6.6,38.5
264,162.9,29,21.9
265,154.7,126.8,30.1
266,100,145.5,5.2
267,14.8,81.8,42
268,169.3,133.7,7.2
269,162.7,114.6,19.1
270,67,84.7,39.5
271,60.2,11.4,37.8
272,11.2,40.2,45.7
273,159.1,136.5,2.7
274,74.2,164.3,17.2
275,103.4,49.6,18.4
276,140.4,117.2,20.1
277,136.9,116.8,10.8
278,132,94.5,12.7
279,134.9,72.7,24.2
280,103.5,72.1,36.6
281,157.4,51.5,63.7
282,185.5,89.8,3.2
283,4.3,31.3,51.6
284,90.8,174,52.7
285,189.9,85.2,56.9
286,14.1,103.1,39.7
287,63.1,183.3,43.8
288,151.6,93,2.9
289,30.2,133.9,50
290,89.3,185,7.3
291,10.7,98.6,44.3
292,102.1,144.4,23.1
293,1.1,82.5,3.3
294,91.3,69.5,33.4
295,50,48.8,50.1
296,149.6,124.6,33.5
297,86.5,197.4,15.3
298,173,127.4,3
299,126.5,69.2,38.1
300,160.1,133,2
301,199.5,179.4,9.7
302,181.1,176.1,7.6
303,153.5,159.9,2.2
304,91.9,197.1,7.4
305,129.7,127,22.2
306,126.5,77.3,35.4
307,128.9,124.2,10.2
308,27.7,136.5,51.6
309,162.9,119.9,29.9
310,55.7,148.5,5
311,84.3,114.8,34.9
312,176.1,91,4.3
313,64.3,132.1,5.6
314,102.6,141.6,7.4
315,28.4,35.5,42.9
316,79.2,25.3,21.6
317,79.8,151.8,35
318,146.7,73,56
319,48.4,99.5,30.9
320,94.7,179.8,2.9
321,15.4,145.6,39.6
322,85.1,133.5,55.6
323,185.9,91.7,3.8
324,20.6,101.5,31.8
325,14.2,116.5,40.4
326,97.1,168.4,12.8
327,57.3,141.7,8.5
328,103.7,167.2,3.7
329,61.8,89,39.5
330,186.9,179.4,30.6
331,32.1,35,48.3
332,19.1,45.2,38
333,54.6,188.7,30.9
334,100.4,170.5,11.7
335,102,137.1,18
336,108.6,182.1,66.7
337,161.9,199.4,38.9
338,181.2,176.9,5.2
339,151.2,192.2,55.7
340,60.5,13,47.2
341,67.2,57.6,48.4
342,93.9,199.2,5
343,107.5,138.5,17.8
344,87.5,199.3,17.5
345,11.3,158.9,35.7
346,161,94.7,2.1
347,157.6,42.8,11.2
348,186.9,174.7,23.9
349,115.3,127.4,27.6
350,182.5,47.2,51.6
351,17.1,84.7,43
352,104,162.4,10
353,133.4,77.1,35.7
354,143.3,131.5,22.8
355,161.5,94.9,2.4
356,23.8,33.3,52
357,103.2,154.4,3.3
358,82.1,116.4,38.8
359,154.5,148.4,9.1
360,152.9,93.7,2.3
361,130.7,90.1,28.4
362,154.1,150.8,8
363,191.7,189.2,45.9
364,151.9,127.5,16.6
365,90.2,162.1,11.4
366,160.2,135.5,2.2
367,140.4,143.6,6.5
368,138.5,121.5,39.3
369,162.2,94.3,3.3
370,105.7,182.6,68
371,28.7,158.8,37.9
372,84.2,29,17.2
373,26.9,47.9,53.5
374,178.2,112.6,51.5
375,15.6,118.1,36.7
376,182.5,196,39.8
377,144,28.3,31.2
378,99,158.1,2.4
379,129.1,83.1,32.7
380,129.9,76.1,12.1
381,104,166.1,9.2
382,135,124,24.5
383,178.3,92.4,5.8
384,162.5,157.3,2.5
385,65.8,194.9,28.3
386,49.7,18.2,52.9
387,154.9,96.2,3.9
388,94.1,187.2,13.7
389,0.9,100,41.4
390,82.7,163.5,2.6
391,2.2,142.2,43
392,41.1,9.2,47.5
393,104.4,145.1,6.3
394,35.3,78.3,36.5
395,92.8,61.5,11.4
396,163,95.3,4.9
397,12.2,140.1,38.5
398,119.4,127.7,20
399,71.7,1.9,46.3
400,105.8,149.8,4.5
401,36.7,71.5,51
402,110.4,167.3,10
403,129.8,45.8,58
404,180,160.2,51
405,196.2,177.1,5.9
406,85.1,90.6,26.1
407,21.5,172.3,22
408,29.3,83.8,15.6
409,57.9,140.7,7
410,105,59.8,16.3
411,58,180.3,44.2
412,104.7,74,19.1
413,137.7,98,2.5
414,185.8,89.1,4.4
415,90.1,59.6,30.7
416,11,5.5,36
417,17.2,47.9,44.4
418,162.1,136.9,2.5
419,136.8,96.7,5.5
420,161.1,136.4,2
421,52.1,139.3,11.6
422,1.6,194.9,53
423,153.2,93.2,2.2
424,55,159.3,59.7
425,9,38.9,35.6
426,147.3,73.8,33.5
427,70.3,153.1,4.9
428,108.5,133.2,11.6
429,176.3,197.7,38.1
430,40.1,112.2,51.7
431,57.9,137.3,8.5
432,92.4,199.3,12.2
433,40.4,179.3,37.7
434,11.7,116.2,39.2
435,78.7,103,51.1
436,58.6,140.3,13.2
437,116.3,106.5,2.6
438,53.1,136,10.5
439,112.4,145,6.9
440,19.4,50,40.3
441,140.1,127.3,17
442,7.2,141.7,46.4
443,79.2,155.6,27
444,105.7,138.2,13.3
445,135.6,103.3,3
446,90,195.1,10.4
447,133.1,144.8,61
448,80.4,90.7,21.7
449,58.8,141.5,15.3
450,151.4,93.4,2.4
451,114.5,127.7,11.2
452,96.1,146.6,2
453,111.5,100,52.2
454,127.5,125,18.9
455,81.2,125,45.9
456,177.7,91.5,4.7
457,8.5,43.4,34.5
458,148.1,86.2,66.1
459,111.8,73.2,39.1
460,3.1,79.5,11.4
461,22.4,34.3,51.8
462,193.7,185.8,9.5
463,61,184.9,42.1
464,28.4,11,50.9
465,154.6,92.7,5
466,59.9,34.4,45.5
467,196.3,176,10.5
468,75.6,28.1,55.6
469,5.9,8.1,33.3
470,7.9,151,43
471,54.5,136.7,6.6
472,43.9,182.2,33.6
473,76.7,166.3,4.4
474,142.7,197.2,60.2
475,2.9,122.8,23.3
476,150.8,45.8,2.5
477,199.3,10,53.5
478,54.2,76.3,39.1
479,78.5,102.5,33.8
480,64.3,178.9,32.8
481,127,133.8,35.2
482,94.7,143.7,10.6
483,104.2,64.7,37.3
484,84.8,121.4,43.6
485,17.5,21.9,51.5
486,195.7,180.5,16.9
487,26.4,5.4,55.1
488,49.5,73.8,43.3
489,153.9,108.3,38.7
490,155.9,183.7,58.8
491,57.3,68.4,35.5
492,163.2,94.1,3.5
493,109.6,145.9,24.1
494,81.9,123.2,45.2
495,16.6,78.8,22
496,51.2,177.9,42.5
497,6.8,179.6,42.3
498,15.4,172.8,5.6
499,160,134.8,2.6
500,58.2,125.1,54.9
501,197,142.5,48.1
502,89.6,86.3,33.6
503,23.1,160.8,33
504,142,117.2,28.8
505,37.6,125.4,39.9
506,125.1,68.2,17.9
507,139.4,143.1,20.6
508,37.7,176.9,17.6
509,127.1,119.9,14.5
510,11.6,46.9,42.7
511,190.1,174.4,8.3
